dtcreate,Berkeley_Berkeley_LHJ,Berkeley_Berkeley_LHJ_Cumulativ,Berkeley_Berkeley_LHJ_Deaths,Berkeley_Berkeley_LHJ_Deaths_Cu,Alameda_County_LHJ,Alameda_County_LHJ_Cumulative,Alameda_County_LHJ_Deaths,Alameda_County_LHJ_Deaths__Cumu,Alameda_County,Alameda_County__Cumulative,Alameda_County_Deaths,Alameda_County_Deaths__Cumulati,GlobalID,OBJECTID
2020/06/18 08:00:00+00,2,118,0,2,45,4542,0,179,47,4660,0,181,4ddc504d-b908-4e9a-95d8-71a1f1e50bf7,112
2020/06/19 08:00:00+00,2,120,0,2,161,4703,2,181,163,4823,2,183,356c4a8b-bdf0-4ccc-bd33-7226d1ac0c74,113
2020/06/20 08:00:00+00,3,123,0,2,121,4824,5,186,124,4947,5,188,22e79395-43a7-497c-b877-5a6f6c7bcef0,114
2020/06/21 08:00:00+00,1,124,0,2,177,5001,1,187,178,5125,1,189,3d021139-ee42-4dbc-8bc4-560050d55b9b,115
2020/06/22 08:00:00+00,7,131,0,2,110,5111,3,190,117,5242,3,192,964d945b-d440-4576-906b-b691d306a395,116
2020/06/23 08:00:00+00,5,136,0,2,80,5191,0,190,85,5327,0,192,d0b2c352-f139-4dbf-8a07-156ca161c4cd,117
2020/06/24 08:00:00+00,3,139,0,2,63,5254,1,191,66,5393,1,193,1710b3ec-bcc7-4a5b-90db-520ef443114d,118
2020/06/25 08:00:00+00,2,141,0,2,120,5374,0,191,122,5515,0,193,f2fcca7a-7393-4c42-9ea2-874ed05ee01a,119
2020/06/26 08:00:00+00,4,145,0,2,59,5433,0,191,63,5578,0,193,7158d00a-9a9e-40d1-91ee-aeb491d6008e,120
2020/06/27 08:00:00+00,2,147,0,2,151,5584,3,194,153,5731,3,196,f404de3f-cf75-4989-89a6-1e2be8dbd9b8,121
2020/06/28 08:00:00+00,2,149,0,2,188,5772,3,197,190,5921,3,199,799af17b-db17-4768-8f8a-a25178b13c5e,122
2020/06/29 08:00:00+00,5,154,0,2,123,5895,1,198,128,6049,1,200,7154349d-c22b-4f60-9855-fe758fbe1d88,123
2020/06/30 08:00:00+00,10,164,0,2,133,6028,4,202,143,6192,4,204,15cdc044-342f-455d-96a1-ac93fd1f2f1e,124
2020/07/01 08:00:00+00,3,167,0,2,171,6199,0,202,174,6366,0,204,2f307f18-bdff-4dc1-b3ce-8428eefad627,125
