"","date_use","total_cases","new_case","avg_cases","total_deaths","new_deaths","avg_deaths"
"69",2020-11-26,383830,1894,4357,7350,30,33
"70",2020-11-25,381936,6422,4740,7320,38,34
"71",2020-11-24,375514,5876,4559,7282,35,32
"72",2020-11-23,369638,5409,4455,7247,39,32
"73",2020-11-22,364229,2426,4373,7208,36,30
"74",2020-11-21,361803,3460,4295,7172,31,28
"75",2020-11-20,358343,5015,4181,7141,22,26
"76",2020-11-19,353328,4575,3953,7119,37,26
"77",2020-11-18,348753,5151,3765,7082,22,23
"78",2020-11-17,343602,5152,3500,7060,37,22
"79",2020-11-16,338450,4830,3216,7023,23,19
"80",2020-11-15,333620,1883,2989,7000,22,18
"81",2020-11-14,331737,2664,2882,6978,17,17
"82",2020-11-13,329073,3419,2780,6961,23,16
"83",2020-11-12,325654,3256,2637,6938,19,15
"84",2020-11-11,322398,3298,2535,6919,15,14
"85",2020-11-10,319100,3163,2419,6904,16,13
"86",2020-11-09,315937,3238,2249,6888,15,13
"87",2020-11-08,312699,1133,2061,6873,13,13
"88",2020-11-07,311566,1954,2013,6860,12,13
"89",2020-11-06,309612,2418,1897,6848,18,13
"90",2020-11-05,307194,2540,1744,6830,9,12
"91",2020-11-04,304654,2487,1567,6821,11,13
"92",2020-11-03,302167,1970,1385,6810,13,14
"93",2020-11-02,300197,1924,1291,6797,12,14
"94",2020-11-01,298273,799,1227,6785,18,14
"95",2020-10-31,297474,1142,1221,6767,13,14
"96",2020-10-30,296332,1347,1212,6754,9,14
"97",2020-10-29,294985,1302,1244,6745,17,16
"98",2020-10-28,293683,1213,1297,6728,13,15
"99",2020-10-27,292470,1309,1366,6715,17,15
"100",2020-10-26,291161,1476,1415,6698,13,15
"101",2020-10-25,289685,755,1465,6685,16,15
"102",2020-10-24,288930,1081,1449,6669,14,14
"103",2020-10-23,287849,1570,1442,6655,19,14
"104",2020-10-22,286279,1672,1410,6636,14,14
"105",2020-10-21,284607,1696,1368,6622,14,14
"106",2020-10-20,282911,1652,1318,6608,14,14
"107",2020-10-19,281259,1830,1257,6594,16,15
"108",2020-10-18,279429,643,1214,6578,9,15
"109",2020-10-17,278786,1034,1193,6569,12,16
"110",2020-10-16,277752,1344,1195,6557,19,16
"111",2020-10-15,276408,1380,1180,6538,14,14
"112",2020-10-14,275028,1340,1157,6524,17,15
"113",2020-10-13,273688,1227,1154,6507,19,16
"114",2020-10-12,272461,1529,1108,6488,15,15
"115",2020-10-11,270932,500,1048,6473,16,15
"116",2020-10-10,270432,1042,1048,6457,9,15
"117",2020-10-09,269390,1244,1024,6448,10,16
"118",2020-10-08,268146,1214,1003,6438,22,16
"119",2020-10-07,266932,1322,1005,6416,19,15
"120",2020-10-06,265610,905,993,6397,16,14
"121",2020-10-05,264705,1108,1031,6381,14,13
"122",2020-10-04,263597,504,1032,6367,18,14
"123",2020-10-03,263093,872,1031,6349,12,14
"124",2020-10-02,262221,1096,1010,6337,11,15
"125",2020-10-01,261125,1226,1006,6326,13,16
"126",2020-09-30,259899,1240,1001,6313,14,17
"127",2020-09-29,258659,1168,989,6299,9,19
"128",2020-09-28,257491,1117,979,6290,20,20
"129",2020-09-27,256374,496,996,6270,18,19
"130",2020-09-26,255878,726,990,6252,20,19
"131",2020-09-25,255152,1071,986,6232,17,18
"132",2020-09-24,254081,1189,969,6215,19,18
"133",2020-09-23,252892,1157,950,6196,27,18
"134",2020-09-22,251735,1096,950,6169,18,17
"135",2020-09-21,250639,1238,930,6151,15,17
"136",2020-09-20,249401,450,918,6136,15,17
"137",2020-09-19,248951,702,901,6121,16,18
"138",2020-09-18,248249,950,892,6105,15,18
"139",2020-09-17,247299,1059,896,6090,18,20
"140",2020-09-16,246240,1156,877,6072,20,21
"141",2020-09-15,245084,958,859,6052,20,22
"142",2020-09-14,244126,1150,887,6032,18,23
"143",2020-09-13,242976,333,776,6014,19,24
"144",2020-09-12,242643,640,782,5995,19,25
"145",2020-09-11,242003,977,755,5976,25,25
"146",2020-09-10,241026,926,753,5951,25,26
"147",2020-09-09,240100,1031,767,5926,27,26
"148",2020-09-08,239069,1149,793,5899,28,25
"149",2020-09-07,237920,377,783,5871,26,25
"150",2020-09-06,237543,373,905,5845,22,25
"151",2020-09-05,237170,452,910,5823,22,27
"152",2020-09-04,236718,965,965,5801,30,29
"153",2020-09-03,235753,1019,977,5771,24,28
"154",2020-09-02,234734,1213,1001,5747,23,29
"155",2020-09-01,233521,1082,1027,5724,28,29
"156",2020-08-31,232439,1229,1051,5696,29,30
"157",2020-08-30,231210,411,1094,5667,33,29
"158",2020-08-29,230799,833,1106,5634,34,29
"159",2020-08-28,229966,1054,1114,5600,22,29
"160",2020-08-27,228912,1182,1151,5578,31,30
"161",2020-08-26,227730,1395,1172,5547,28,31
"162",2020-08-25,226335,1250,1175,5519,30,33
"163",2020-08-24,225085,1532,1206,5489,25,33
"164",2020-08-23,223553,499,1204,5464,30,35
"165",2020-08-22,223054,888,1210,5434,37,36
"166",2020-08-21,222166,1309,1238,5397,32,35
"167",2020-08-20,220857,1332,1254,5365,37,35
"168",2020-08-19,219525,1414,1280,5328,41,35
"169",2020-08-18,218111,1466,1311,5287,29,33
"170",2020-08-17,216645,1520,1339,5258,39,35
"171",2020-08-16,215125,540,1414,5219,36,36
"172",2020-08-15,214585,1086,1429,5183,32,36
"173",2020-08-14,213499,1423,1457,5151,34,37
"174",2020-08-13,212076,1508,1522,5117,31,37
"175",2020-08-12,210568,1631,1571,5086,32,37
"176",2020-08-11,208937,1664,1626,5054,43,38
"177",2020-08-10,207273,2044,1701,5011,43,38
"178",2020-08-09,205229,645,1719,4968,40,38
"179",2020-08-08,204584,1285,1732,4928,35,38
"180",2020-08-07,203299,1877,1781,4893,33,40
"181",2020-08-06,201422,1853,1816,4860,36,41
"182",2020-08-05,199569,2012,1874,4824,34,41
"183",2020-08-04,197557,2188,1920,4790,48,42
"184",2020-08-03,195369,2173,1974,4742,41,40
"185",2020-08-02,193196,733,2035,4701,40,40
"186",2020-08-01,192463,1629,2043,4661,46,40
"187",2020-07-31,190834,2125,2100,4615,39,40
"188",2020-07-30,188709,2259,2154,4576,41,40
"189",2020-07-29,186450,2334,2204,4535,39,40
"190",2020-07-28,184116,2562,2299,4496,32,42
"191",2020-07-27,181554,2600,2394,4464,42,44
"192",2020-07-26,178954,792,2508,4422,44,43
"193",2020-07-25,178162,2030,2546,4378,46,42
"194",2020-07-24,176132,2504,2592,4332,39,40
"195",2020-07-23,173628,2604,2702,4293,38,40
"196",2020-07-22,171024,2999,2816,4255,50,41
"197",2020-07-21,168025,3226,2821,4205,46,39
"198",2020-07-20,164799,3401,2844,4159,41,39
"199",2020-07-19,161398,1057,2865,4118,37,41
"200",2020-07-18,160341,2350,2891,4081,32,40
"201",2020-07-17,157991,3279,2907,4049,36,40
"202",2020-07-16,154712,3401,2908,4013,43,41
"203",2020-07-15,151311,3036,2900,3970,37,39
"204",2020-07-14,148275,3382,2951,3933,47,39
"205",2020-07-13,144893,3552,2961,3886,55,37
"206",2020-07-12,141341,1238,2842,3831,29,34
"207",2020-07-11,140103,2464,2833,3802,33,35
"208",2020-07-10,137639,3281,2610,3769,40,35
"209",2020-07-09,134358,3349,2357,3729,32,34
"210",2020-07-08,131009,3389,2342,3697,35,35
"211",2020-07-07,127620,3456,2347,3662,33,34
"212",2020-07-06,124164,2714,2289,3629,35,35
"213",2020-07-05,121450,1181,2323,3594,39,34
"214",2020-07-04,120269,903,2311,3555,28,34
"215",2020-07-03,119366,1508,2475,3527,33,34
"216",2020-07-02,117858,3245,2666,3494,41,34
"217",2020-07-01,114613,3425,2619,3453,29,31
"218",2020-06-30,111188,3045,2509,3424,38,33
"219",2020-06-29,108143,2953,2421,3386,32,30
"220",2020-06-28,105190,1098,2315,3354,40,30
"221",2020-06-27,104092,2048,2293,3314,24,28
"222",2020-06-26,102044,2847,2214,3290,31,31
"223",2020-06-25,99197,2916,2065,3259,26,31
"224",2020-06-24,96281,2653,1909,3233,37,32
"225",2020-06-23,93628,2430,1804,3196,21,32
"226",2020-06-22,91198,2211,1722,3175,30,32
"227",2020-06-21,88987,947,1693,3145,30,33
"228",2020-06-20,88040,1497,1680,3115,39,33
"229",2020-06-19,86543,1799,1646,3076,35,31
"230",2020-06-18,84744,1826,1603,3041,29,30
"231",2020-06-17,82918,1916,1544,3012,40,30
"232",2020-06-16,81002,1857,1486,2972,24,28
"233",2020-06-15,79145,2008,1412,2948,32,29
"234",2020-06-14,77137,856,1348,2916,29,30
"235",2020-06-13,76281,1260,1325,2887,28,31
"236",2020-06-12,75021,1498,1300,2859,30,32
"237",2020-06-11,73523,1411,1283,2829,24,33
"238",2020-06-10,72112,1510,1302,2805,26,36
"239",2020-06-09,70602,1340,1277,2779,36,39
"240",2020-06-08,69262,1563,1286,2743,38,38
"241",2020-06-07,67699,695,1235,2705,35,38
"242",2020-06-06,67004,1082,1205,2670,35,37
"243",2020-06-05,65922,1383,1182,2635,40,38
"244",2020-06-04,64539,1543,1197,2595,45,37
"245",2020-06-03,62996,1334,1157,2550,45,35
"246",2020-06-02,61662,1403,1165,2505,30,35
"247",2020-06-01,60259,1203,1204,2475,37,37
"248",2020-05-31,59056,487,1167,2438,30,35
"249",2020-05-30,58569,919,1170,2408,37,36
"250",2020-05-29,57650,1490,1145,2371,33,36
"251",2020-05-28,56160,1265,1071,2338,32,37
"252",2020-05-27,54895,1386,1025,2306,47,37
"253",2020-05-26,53509,1681,992,2259,40,34
"254",2020-05-25,51828,941,889,2219,28,35
"255",2020-05-24,50887,508,921,2191,38,38
"256",2020-05-23,50379,742,927,2153,34,38
"257",2020-05-22,49637,971,929,2119,43,40
"258",2020-05-21,48666,946,950,2076,27,40
"259",2020-05-20,47720,1156,994,2049,29,41
"260",2020-05-19,46564,958,965,2020,47,42
"261",2020-05-18,45606,1163,984,1973,45,43
"262",2020-05-17,44443,550,986,1928,38,40
"263",2020-05-16,43893,758,992,1890,52,39
"264",2020-05-15,43135,1121,983,1838,43,39
"265",2020-05-14,42014,1251,966,1795,31,40
"266",2020-05-13,40763,951,923,1764,41,43
"267",2020-05-12,39812,1095,930,1723,48,44
"268",2020-05-11,38717,1179,954,1675,28,43
"269",2020-05-10,37538,587,918,1647,32,45
"270",2020-05-09,36951,699,902,1615,50,47
"271",2020-05-08,36252,999,903,1565,50,47
"272",2020-05-07,35253,954,893,1515,50,45
"273",2020-05-06,34299,1000,888,1465,53,44
"274",2020-05-05,33299,1257,886,1412,37,42
"275",2020-05-04,32042,933,843,1375,44,45
"276",2020-05-03,31109,474,864,1331,44,44
"277",2020-05-02,30635,707,883,1287,49,43
"278",2020-05-01,29928,924,910,1238,36,42
"279",2020-04-30,29004,918,923,1202,45,43
"280",2020-04-29,28086,992,931,1157,42,44
"281",2020-04-28,27094,955,900,1115,54,45
"282",2020-04-27,26139,1079,889,1061,37,43
"283",2020-04-26,25060,603,869,1024,41,44
"284",2020-04-25,24457,900,853,983,39,43
"285",2020-04-24,23557,1013,812,944,44,43
"286",2020-04-23,22544,972,786,900,51,43
"287",2020-04-22,21572,777,757,849,47,44
"288",2020-04-21,20795,877,767,802,40,42
"289",2020-04-20,19918,941,736,762,47,43
"290",2020-04-19,18977,491,699,715,36,42
"291",2020-04-18,18486,614,691,679,38,42
"292",2020-04-17,17872,833,671,641,39,41
"293",2020-04-16,17039,765,635,602,58,40
"294",2020-04-15,16274,847,608,544,35,37
"295",2020-04-14,15427,662,573,509,47,37
"296",2020-04-13,14765,679,579,462,42,34
"297",2020-04-12,14086,435,559,420,37,31
"298",2020-04-11,13651,476,581,383,30,29
"299",2020-04-10,13175,582,598,353,30,27
"300",2020-04-09,12593,574,627,323,35,27
"301",2020-04-08,12019,606,634,288,40,25
"302",2020-04-07,11413,701,635,248,25,22
"303",2020-04-06,10712,537,626,223,17,21
"304",2020-04-05,10175,592,637,206,23,20
"305",2020-04-04,9583,591,605,183,21,19
"306",2020-04-03,8992,789,577,162,26,17
"307",2020-04-02,8203,620,518,136,22,14
"308",2020-04-01,7583,614,483,114,19,12
"309",2020-03-31,6969,638,457,95,17,10
"310",2020-03-30,6331,616,406,78,11,8
"311",2020-03-29,5715,370,360,67,15,8
"312",2020-03-28,5345,393,343,52,8,6
"313",2020-03-27,4952,373,314,44,9,5
"314",2020-03-26,4579,374,297,35,4,4
"315",2020-03-25,4205,436,275,31,7,4
"316",2020-03-24,3769,280,239,24,3,3
"317",2020-03-23,3489,291,229,21,7,3
"318",2020-03-22,3198,252,220,14,4,2
"319",2020-03-21,2946,195,208,10,3,1
"320",2020-03-20,2751,252,200,7,3,1
"321",2020-03-19,2499,218,186,4,4,1
"322",2020-03-18,2281,188,177,0,0,0
"323",2020-03-17,2093,208,169,0,0,0
"324",2020-03-16,1885,224,153,0,0,0
"325",2020-03-15,1661,168,134,0,0,0
"326",2020-03-14,1493,144,117,0,0,0
"327",2020-03-13,1349,152,102,0,0,0
"328",2020-03-12,1197,158,86,0,0,0
"329",2020-03-11,1039,132,68,0,0,0
"330",2020-03-10,907,96,52,0,0,0
"331",2020-03-09,811,87,40,0,0,0
"332",2020-03-08,724,47,31,0,0,0
"333",2020-03-07,677,41,28,0,0,0
"334",2020-03-06,636,43,NA,0,0,NA
"335",2020-03-05,593,33,NA,0,0,NA
"336",2020-03-04,560,19,NA,0,0,NA
"337",2020-03-03,541,13,NA,0,0,NA
"338",2020-03-02,528,19,NA,0,0,NA
"339",2020-03-01,509,25,NA,0,0,NA
