"","date_use","total_cases","new_case","avg_cases","total_deaths","new_deaths","avg_deaths"
"1",2021-02-02,1070566,108,3079,16366,22,86
"2",2021-02-01,1070458,2525,3921,16344,85,100
"3",2021-01-31,1067933,1572,4317,16259,100,110
"4",2021-01-30,1066361,3338,4455,16159,108,110
"5",2021-01-29,1063023,3836,4524,16051,90,114
"6",2021-01-28,1059187,4806,4825,15961,103,121
"7",2021-01-27,1054381,5369,5119,15858,94,127
"8",2021-01-26,1049012,6000,5498,15764,117,137
"9",2021-01-25,1043012,5299,5893,15647,156,141
"10",2021-01-24,1037713,2535,5999,15491,100,142
"11",2021-01-23,1035178,3820,6213,15391,140,148
"12",2021-01-22,1031358,5947,6759,15251,139,152
"13",2021-01-21,1025411,6861,7351,15112,143,160
"14",2021-01-20,1018550,8024,7854,14969,165,167
"15",2021-01-19,1010526,8762,8280,14804,143,170
"16",2021-01-18,1001764,6046,8874,14661,162,179
"17",2021-01-17,995718,4031,10052,14499,147,185
"18",2021-01-16,991687,7640,10128,14352,167,194
"19",2021-01-15,984047,10094,10459,14185,196,201
"20",2021-01-14,973953,10383,10917,13989,187,200
"21",2021-01-13,963570,11002,11532,13802,191,202
"22",2021-01-12,952568,12924,12452,13611,201,209
"23",2021-01-11,939644,14288,13451,13410,206,209
"24",2021-01-10,925356,4565,14531,13204,209,212
"25",2021-01-09,920791,9957,14899,12995,214,210
"26",2021-01-08,910834,13302,15284,12781,194,203
"27",2021-01-07,897532,14689,13990,12587,201,203
"28",2021-01-06,882843,17442,13339,12386,240,204
"29",2021-01-05,865401,19915,13513,12146,199,196
"30",2021-01-04,845486,21845,13611,11947,224,187
"31",2021-01-03,823641,7140,13299,11723,199,182
"32",2021-01-02,816501,12656,13349,11524,163,181
"33",2021-01-01,803845,4246,13369,11361,197,184
"34",2020-12-31,799599,10130,13270,11164,207,177
"35",2020-12-30,789469,18657,12969,10957,180,173
"36",2020-12-29,770812,20605,12596,10777,141,165
"37",2020-12-28,750207,19658,12206,10636,184,167
"38",2020-12-27,730549,7494,11816,10452,192,162
"39",2020-12-26,723055,12795,11673,10260,185,156
"40",2020-12-25,710260,3554,11502,10075,153,147
"41",2020-12-24,706706,8023,13072,9922,173,146
"42",2020-12-23,698683,16043,14133,9749,130,139
"43",2020-12-22,682640,17872,14038,9619,149,137
"44",2020-12-21,664768,16931,13873,9470,155,130
"45",2020-12-20,647837,6490,13828,9315,144,124
"46",2020-12-19,641347,11604,13819,9171,128,119
"47",2020-12-18,629743,14543,13767,9043,142,113
"48",2020-12-17,615200,15451,13622,8901,126,108
"49",2020-12-16,599749,15372,13354,8775,118,102
"50",2020-12-15,584377,16720,13011,8657,100,95
"51",2020-12-14,567657,16615,12505,8557,111,89
"52",2020-12-13,551042,6426,12019,8446,108,85
"53",2020-12-12,544616,11243,11921,8338,89,78
"54",2020-12-11,533373,13526,11591,8249,103,74
"55",2020-12-10,519847,13576,11186,8146,87,67
"56",2020-12-09,506271,12971,10741,8059,65,65
"57",2020-12-08,493300,13175,10379,7994,61,62
"58",2020-12-07,480125,13216,10116,7933,83,61
"59",2020-12-06,466909,5742,9813,7850,57,55
"60",2020-12-05,461167,8930,9513,7793,62,52
"61",2020-12-04,452237,10692,9100,7731,56,49
"62",2020-12-03,441545,10459,8245,7675,69,46
"63",2020-12-02,431086,10436,7021,7606,48,41
"64",2020-12-01,420650,11335,6448,7558,49,39
"65",2020-11-30,409315,11096,5668,7509,47,37
"66",2020-11-29,398219,3640,4856,7462,35,36
"67",2020-11-28,394579,6043,4682,7427,42,36
"68",2020-11-27,388536,4706,4313,7385,35,35
